Company,firm,year,mktcap,sharepr,bkvalue,opincome,sharesno,EPS,BVPS,tdebt,debteq,equity,avrgdebteq,dividends,div,retearnings,size,Q-ratio,EV,netprofit
AFRICAN MEDIA,1,2010,293352000,34,52529000,36104000,8628000,4.184515531,6.088201205,52060000,0.177465979,87960000,0.143031138,17257000,1,43988000,0,5.584572331,249247000,24109000
AFRICAN MEDIA,1,2011,409830000,47.5,74191000,36585000,8628000,4.240264256,8.598864163,57732000,0.140868165,113976000,0.143031138,16870000,1,70237000,0,5.523985389,364752000,28290000
AFRICAN MEDIA,1,2012,430976000,52,94311000,49987000,8288000,6.03125,11.37922297,71257000,0.165338673,134091000,0.143031138,0,0,105030000,0,4.569732057,381213000,40723000
AFRICAN MEDIA,1,2013,578088000,69.75,121227000,53374000,8288000,6.439913127,14.62680985,80859000,0.139873168,161007000,0.143031138,8122000,1,134663000,0,4.768640649,503850000,41604000
AFRICAN MEDIA,1,2014,703545000,85,136062000,60565000,8277000,7.317264709,16.4385647,87568000,0.124466807,175842000,0.143031138,24666000,1,152749000,0,5.170767738,599278000,48623000
AFRICAN MEDIA,1,2015,835876000,101,162078000,70156000,8276000,8.477042049,19.5840986,109650000,0.131179744,201504000,0.143031138,24295000,1,179760000,0,5.157245277,731109000,56571000
AFRICAN MEDIA,1,2016,658960000,80,179189000,64433000,8237000,7.822386791,21.75415807,81175000,0.123186536,218615000,0.143031138,28241000,1,199342000,0,3.67745788,658960000,53623000
AFRICAN MEDIA,1,2017,531564000,66,191439000,64117000,8054000,7.960888999,23.76943134,75413000,0.141870029,230865000,0.143031138,27219000,1,218678000,0,2.776675599,416619000,56057000
ARCELORMITTAL,2,2010,39047886763,87.6,3394000000,293000000,445752132,0.657315981,7.614097065,1384000000,0.035443659,22556000000,2.214006156,602000000,1,24994000000,1,11.50497548,35853886763,1255000000
ARCELORMITTAL,2,2011,24944289307,55.96,22543000000,297000000,445752132,0.666289578,50.57294936,9753000000,0.390991296,22669000000,2.214006156,221000000,1,24863000000,1,1.106520397,24853289307,318000000
ARCELORMITTAL,2,2012,12543464994,28.14,22121000000,-477000000,445752132,-1.070101444,49.62623488,8656000000,0.690080453,22242000000,2.214006156,0,0,24383000000,1,0.567038786,11669464994,-444000000
ARCELORMITTAL,2,2013,16688959822,37.44,20548000000,47000000,445752132,0.105439765,46.09736785,12021000000,0.720296539,20694000000,2.214006156,0,0,22271000000,1,0.812193879,16403959822,-2147000000
ARCELORMITTAL,2,2014,9160206313,20.55,20587000000,-301000000,445752132,-0.675263175,46.18486042,12304000000,1.343201188,20722000000,2.214006156,0,0,21979000000,1,0.444951004,9717206313,-158000000
ARCELORMITTAL,2,2015,3570474577,8.01,13360000000,-4736000000,445752132,-10.62473886,29.97181402,17490000000,4.898508482,13472000000,2.214006156,0,0,13260000000,1,0.267251091,6449474577,-8635000000
ARCELORMITTAL,2,2016,11152986285,9.8,13440000000,-1092000000,1138059825,-0.959527765,11.80957249,17103000000,1.533490633,13543000000,2.214006156,0,0,8425000000,1,0.829835289,11963986285,-4706000000
ARCELORMITTAL,2,2017,2856530161,2.51,7976000000,-1220000000,1138059825,-1.071999884,7.008418912,23138000000,8.100037002,8058000000,2.214006156,0,0,3158000000,1,0.358140692,7024530161,-5128000000
ARGENT,3,2010,935958858.8,9.7,961159000,49447000,96490604,0.512454042,9.961166789,719399000,0.768622459,1252201000,1.092360099,8201000,1,658647000,0,0.973781506,1385026859,11655000
ARGENT,3,2011,791222952.8,8.2,1003240000,101963000,96490604,1.056714289,10.39728179,757534000,0.957421669,1291684000,1.092360099,3662000,1,708946000,0,0.78866767,1242108953,54245000
ARGENT,3,2012,651311577,6.75,1020005000,121416000,96490604,1.258319411,10.57102928,685749000,1.052873961,1314684000,1.092360099,6408000,1,795116000,0,0.638537632,1016286577,70045000
ARGENT,3,2013,540347382.4,5.6,1064204000,126233000,96490604,1.30824137,11.0290946,702911000,1.300850199,1358875000,1.092360099,11073000,1,860225000,0,0.507747934,866637382.4,76272000
ARGENT,3,2014,545171912.6,5.65,974218000,79303000,96490604,0.82187277,10.09650639,597931000,1.096775139,1147084000,1.092360099,13216000,1,655323000,0,0.559599507,856232912.6,-193057000
ARGENT,3,2015,397541288.5,4.12,987857000,58136000,96490604,0.60250426,10.23785694,520046000,1.308155945,1160723000,1.092360099,13576000,1,667847000,0,0.402427971,622264288.5,26899000
ARGENT,3,2016,373951605.3,3.9,1022565000,91245000,95885027,0.95160843,10.66449092,386565000,1.033730019,1198863000,1.092360099,16938000,1,706216000,0,0.365699594,513100605.3,55737000
ARGENT,3,2017,400364160,4.2,1024459000,105985000,95324800,1.11183029,10.7470354,488625000,1.220451401,1238152000,1.092360099,17057000,1,750923000,0,0.39080545,552645160,63433000
ASPEN,4,2010,40825044000,94.59,1820200000,2614900000,431600000,6.058619092,4.217330862,8914700000,0.218363512,10886200000,0.342640463,800000,1,5719600000,1,22.42887815,44448244000,1978500000
ASPEN,4,2011,39072695000,90.05,-256000000,3149000000,433900000,7.257432588,-0.589997695,13510100000,0.345768317,13287300000,0.342640463,1700000,1,8363600000,1,-152.6277148,45996195000,2588800000
ASPEN,4,2012,57186351000,142.29,184400000,3940600000,401900000,9.804926599,0.458820602,14320400000,0.250416397,17398100000,0.342640463,2000000,1,12686300000,1,310.1212093,64262751000,2826900000
ASPEN,4,2013,1.08E+11,268.3,-2107300000,5043300000,401900000,12.54864394,-5.243344115,22622800000,0.20980106,22798900000,0.342640463,200000,1,18804600000,1,-51.16963413,1.19E+11,3514100000
ASPEN,4,2014,1.54E+11,337.62,-13464600000,7424800000,456341037,16.27028778,-29.50556472,53671300000,0.348356906,28876100000,0.342640463,716200000,1,25996300000,1,-11.4425873,1.84E+11,5005500000
ASPEN,4,2015,1.34E+11,294,-11400000000,8400000000,456348537,18.40698352,-24.98090621,54300000000,0.404721091,34100000000,0.342640463,857700000,1,31131900000,1,-11.76898859,1.64E+11,5200000000
ASPEN,4,2016,1.42E+11,311,-12600000000,9000000000,456351436,19.72164277,-27.61029988,61800000000,0.435440344,42500000000,0.342640463,1000000000,1,40600000000,1,-11.26391243,1.75E+11,4300000000
